"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description","Implemented when","Responsible actor"
"307","601","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","System engineering","Development process","Roll out updated systems engineering processes, guidance, and tools.","N/A","N/A"
"308","602","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","Privacy-by-design","Requirements","Select and refine baseline privacy requirements [and tests].","Requirements","N/A"
"309","604","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","Privacy-by-design","Requirements","Develop custom privacy requirements [and tests] based on results of privacy risk analysis.","Requirements","N/A"
"310","607","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","Privacy-by-design","Controls","Develop data and process models reflecting identified privacy controls.","Design & Development","N/A"
"311","612","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","System engineering","Testing","Check operational behaviour against applicable privacy policies and procedures.","Verification and validation","N/A"
"312","618","Academia","Privacy requirements","Practice","Mead et al. (2011)","Policy","Privacy policy","The service architecture shall describe privacy policy statements and enable a user to access them.","N/A","N/A"
"313","620","Academia","Privacy requirements","Practice","Mead et al. (2011)","Audit, monitoring, & compliance","Compliance","The system should have functional audit logs and usage reports without disclosing identity information.","N/A","N/A"
"314","624","Academia","Privacy requirements","Practice","Mead et al. (2011)","Third-party privacy management","Third-party","The system shall have a verification process to check whether there is a disclosure agreement between the third party and the person.","N/A","N/A"
"315","627","Academia","Privacy requirements","Practice","Kalloniatis et al. (2008)","Privacy-by-design","Privacy goals","Analyse the impact of privacy goals on organisational processes.","Requirements","N/A"
"316","629","Academia","Privacy requirements","Practice","Kalloniatis et al. (2008)","Privacy-by-design","Requirements","Identify the technique(s) that best support/implement the identified privacy related processes.","Requirements","N/A"
"317","630","Academia","User-tailored PbD","Practice","Sivakumar et al. (2017)","Privacy-by-design","Requirements","Develop a classification of users, resulting a set of privacy profiles.","Requirements","N/A"
"318","631","Academia","User-tailored PbD","Practice","Sivakumar et al. (2017)","Privacy-by-design","Requirements","Identify the privacy features available in the application.","Requirements","N/A"
"319","632","Academia","User-tailored PbD","Practice","Sivakumar et al. (2017)","Privacy-by-design","Requirements","Survey users of the application regarding their use of privacy behaviours.","Requirements","N/A"
"320","633","Academia","User-tailored PbD","Practice","Sivakumar et al. (2017)","Privacy-by-design","Requirements","The privacy activities are submitted to a Mixture Factor Analysis procedure, which classifies users into distinct classes based on their activities.","Requirements","N/A"
"321","634","Academia","User-tailored PbD","Practice","Sivakumar et al. (2017)","Privacy-by-design","Requirements","For each privacy profile, make the relevant privacy features more/less prominent.","Requirements","N/A"
"322","635","Academia","User-tailored PbD","Practice","Sivakumar et al. (2017)","Privacy-by-design","Requirements","For each privacy profile, develop design guidelines that support relevant privacy activities.","Requirements","N/A"
"323","637","Academia","Privacy threats","Practice","Deng et al. (2011)","Threat management","Threat management","Privacy threats are mapped to the data-flow diagram elements.","N/A","N/A"
"324","638","Academia","Privacy threats","Practice","Deng et al. (2011)","Threat management","Threat management","The identified privacy threats that are relevant to the designated system are documented as misuse cases.","N/A","N/A"
"325","643","Academia","Privacy design strategies","Strategy","Hoepman (2014)","Security","Unlinkability","Data collected for one purpose is stored separately from data stored for another purpose.","N/A","N/A"
"326","646","Academia","Privacy design strategies","Strategy","Hoepman (2014)","Data subject rights","Data rectification","A data subject is informed about the fact that data about her is being processed, and she is able to request modifications and corrections where appropriate.","N/A","N/A"
"327","655","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA component","The PIA contains a description of the proposed project and identification of stakeholders.","PIA","N/A"
"328","661","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA component","The PIA contains implementation of the recommendations.","PIA","N/A"
"329","663","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA process & support","The PIA is updated if there are changes in the project.","PIA","N/A"
"330","666","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA process & support","The organisation needs to install an ongoing employee awareness program, effectively raising the profile of PIAs and regulatory requirements for their performance with program managers and new hires.","PIA","N/A"
"331","669","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA report","PIA reports are submitted to a third-party for audit.","PIA","N/A"
"332","670","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA process & support","PIAs are applied to cross-jurisdictional projects and invite comments from privacy commissioners of all jurisdictions where projects are likely to have significant privacy implications and ensure that such projects meet or exceed the data protection and privacy requirements in all the relevant countries.","PIA","N/A"
"333","672","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA report","The PIA report is tied to a budget submission for new projects or programs.","PIA","N/A"
"334","673","Academia","Privacy impact assessment","Practice","Wright (2012)","PIA/DPIA","PIA report","PIA reports are stored in a centralised registry, which helps create a body of knowledge so that project managers and assessors can learn from the experience of others.","PIA","N/A"
"335","674","Government","Privacy-by-design","Practice","Cavoukian (2012)","Organisational privacy awareness","Stakeholders","Affirm senior leadership commitment to a strong, proactive privacy program.","N/A","Leadership/Senior Management"
"336","675","Government","Privacy-by-design","Practice","Cavoukian (2012)","Audit, monitoring, & compliance","Monitoring","Ensure that concrete actions, not just policies, reflect a commitment to privacy. Monitor through a system of regularly reviewed metrics.","N/A","Leadership/Senior Management"
"337","676","Government","Privacy-by-design","Practice","Cavoukian (2012)","PIA/DPIA","PIA component","Develop systematic methods to assess privacy & security risks and to correct any negative impacts, well before they occur.","N/A","Leadership/Senior Management"
"338","678","Government","Privacy-by-design","Practice","Cavoukian (2012)","Data processing principles","Purpose limitation","Adopt as narrow and specific a purpose(s) for data collection as possible  begin with no collection of personally identifiable information  data minimization. ","N/A","Software Engineers & Developers, Application & Program Owners, Line of Business & Process Owners"
"339","681","Government","Privacy-by-design","Practice","Cavoukian (2012)","Security","Unlinkability","Create technological, policy and procedural barriers to data linkages with personally identifiable information.","N/A","Software Engineers & Developers, Application & Program Owners, Line of Business & Process Owners"
"340","682","Government","Privacy-by-design","Practice","Cavoukian (2012)","PIA/DPIA","PIA process & support","Make a Privacy Risk Assessment an integral part of the design stage of any initiative.","N/A","Software Engineers & Developers, Application & Program Owners, Line of Business & Process Owners"
"341","685","Government","Privacy-by-design","Practice","Cavoukian (2012)","Data subject rights","Data disposal","Ensure the secure destruction and disposal of personal information at the end of its lifecycle.","N/A","Software Engineers & Developers, Application & Program Owners, Line of Business & Process Owners"
"342","688","Government","Privacy-by-design","Practice","Cavoukian (2012)","Transparent information and communication for exercise of data rights","Disclosure","Make information about the policies, procedures and controls relating to the management of Personal Information readily available to all individuals.","N/A","Leadership/Senior Management, Software engineers, application developers, system architect"
"343","689","Government","Privacy-by-design","Practice","Cavoukian (2012)","Transparent information and communication for exercise of data rights","Disclosure","Consider publishing summaries of PIAs, TRAs and independent, third party audit results.","","Leadership/Senior Management, Software engineers, application developers, system architect"
"344","690","Government","Privacy-by-design","Practice","Cavoukian (2012)","Privacy-by-design","Technology","Make audit tools available so that users can easily determine how their data is stored, protected and used.","N/A","Leadership/Senior Management, Software engineers, application developers, system architect"
"345","692","Government","Privacy-by-design","Practice","Cavoukian (2012)","Transparent information and communication for exercise of data rights","Notice","Provide appropriate notice.","N/A","Leadership/Senior Management, Software engineers, application developers, system architect"
"346","694","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA preparation","Set up the PIA team and provide it with direction.","PIA","N/A"
"347","695","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA preparation","Prepare a PIA plan and determine the necessary resources for conducting the PIA.","PIA","N/A"
"348","696","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA report","Describe what is being assessed in the PIA.","PIA","N/A"
"349","698","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA component","Establish a stakeholder consultation plan in the PIA.","PIA","N/A"
"350","701","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA component","Analyse the implications of the use cases in the PIA.","PIA","N/A"
"351","711","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA process & support","Implement privacy risk treatment plans from the PIA.","PIA","N/A"
"352","712","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA report","Arrange for appropriate review of the PIA report.","PIA","N/A"
"353","713","Industry","Privacy-impact-assessment","Practice","International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA report","The organization has a mechanism for updating in the PIA report, as necessary, notably if there are significant changes in the business process affecting the processing of personal data or the way in which the business process was previously presented to stakeholders.","PIA","N/A"
"354","10, 39, 121, 366, 423, 525, 527, 636","Academia/industry","PbD, IoT, EHR, privacy threats","Practice","Diamantopoulou & Karyda (2022), Pedroza et al. (2021), Bincoletto (2019), Gkotsopoulou et al. (2019), Perera et al. (2020), Koorn & Ter Horst (2011), Deng et al. (2011)","Data management","Data management","The information system data flows are determined and modelled in a data flow diagram.","N/A","N/A"
"355","104, 125, 140, 184, 309, 483, 520","Academia/government","Privacy-impact-assessment","Practice","Piras et al. (2020), Bincoletto (2019), Bincoletto (2019), Chaudhuri & Cavoukian (2018), Fhom & Bayarou (2011), ENISA (2014), Koorn & Ter Horst (2011)","PIA/DPIA","PIA process & support","A Data Protection Impact Assessment is performed as an organisational measure to control the processing and to integrate the necessary safeguards into it. ","PIA","Business analyst/engineers"
"356","11, 36, 76, 98, 364, 391, 570","Academia/government","PbD in medical, DPbD","Practice","Diamantopoulou & Karyda (2022), Pedroza et al. (2021), Kalloniatis et al (2020), Piras et al. (2020), Gkotsopoulou et al. (2019), Vicini et al. (2016), Datatilsynet (2017)","Processing activity","Data identification & classification","Personal data and related metadata are identified, categorised, documented, and kept in an inventory.","N/A","N/A"
"357","110, 196","Academia","GDPR requirements, PbD process","Privacy property","Huth & Matthes (2019), Diamantopoulou et al. (2017)","Security","Unlinkability","Unlinkability: the use of a resource or a service by a user without a third party being able to determine whether two items of interest (IOI) are related or not.","N/A","N/A"
"358","111, 135, 318, 319, 465, 621","Academia/industry","GDPR, DPbD in EHR, PbD compliance","Practice","Huth & Matthes (2019), Bincoletto (2019), Fhom & Bayarou (2011), Privacy Company (2019), Mead et al. (2011)","Security","Security activities","Privacy-aware access control is applied, including physical access, logical access, authentication, and authorisation.","N/A","N/A"
"359","116, 301, 447, 474","Academia/government","GDPR requirements, PbD, IoT","Practice","Huth & Matthes (2019), Belli et al. (2017), Aljeraisy et al. (2021), Cavoukian (2011)","Lawfulness, fairness, and transparency","Transparency","The organisation is transparent as to how personal data can be accessed and used.","N/A","N/A"
"360","119, 137, 175, 456, 586","Academia/government","DPbD/GDPR/IoT/requirements","Practice","Huth & Matthes (2019), Bincoletto (2019), Chaudhuri & Cavoukian (2018), Aljeraisy et al. (2021), Datatilsynet (2017)","Data processing principles","Accountability","The software must be designed and developed so that the controller can document and demonstrate how the requirements of the data protection regulation have been implemented and the design is privacy friendly.","N/A","N/A"
"361","124, 194, 404, 534, 538","Academia/industry","","Practice","Bincoletto (2019), Diamantopoulou et al. (2017), Perera et al. (2020), Tamò-Larrieux (2018)","Privacy-by-design","Technology","Anonymity tools are implemented to prevent the reveal of sensitive information.","N/A","N/A"
"362","128, 623","Academia","DPbD EHR, requirements","Practice","Bincoletto (2019), Mead et al. (2011)","Security","Back-up/recovery","Back-up and recovery mechanisms are in place.","N/A","N/A"
"363","129, 496","Academia/government","PbD, EHR, IoT","Practice","Bincoletto (2019), Perera et al. (2020), ENISA (2014)","Audit, monitoring, & compliance","Auditing","Audit and log systems are compliant with other privacy principles and track user activity to identify illegal processing.","N/A","N/A"
"364","13, 73, 395, 639","Academia","Privacy threats, PbD","Practice","Diamantopoulou & Karyda (2022), Arfaoui et al. (2020), Vicini et al. (2016), Deng et al. (2011)","Threat management","Threat management","Threats are identified, prioritised, linked to privacy properties, and kept in an inventory.","N/A","Security/privacy expert"
"365","139, 275, 648","Academia","DPbD in EHR, PbD","Practice","Bincoletto (2019), van Lieshout et al. (2011), Hoepman (2014)","Policy","Privacy policy","Internal policies and guidelines regarding data processing are formulated, adhered to, and enforced.","N/A","N/A"
"366","14, 101","Academia","PbD, model-based","Practice","Diamantopoulou & Karyda (2022), Piras et al. (2020)","Threat management","Threat management","Vulnerabilities are identified and kept in an inventory.","N/A","N/A"
"367","144, 272, 349, 353, 603","Academia/industry","PbD, privacy verification, engineering","Practice","Morales-Trujillo & García-Mireles (2018), van Lieshout et al. (2011), Kost et al. (2011), Martín et al. (2014), The MITRE Corporation (2019)","Privacy-by-design","Requirements","High-level privacy requirements are derived from general privacy principles and the PIA.","N/A","N/A"
"368","146, 355","Academia","Privacy requirements engineering","Practice","Morales-Trujillo & García-Mireles (2018), Martín et al. (2014)","Privacy-by-design","Requirements","Use a framework to consider privacy in different layers to determine privacy goals and requirements.","N/A","N/A"
"369","16, 83","Academia","Business process, PbD in healthcare","Practice","Diamantopoulou & Karyda (2022), Kalloniatis et al (2020)","Privacy-by-design","Controls","The existing technical and organizational measures for the protection of personal data are identified and documented.","N/A","N/A"
"370","169, 610, 611","Academia/government","Privacy engineering","Practice","Morales-Trujillo & García-Mireles (2018), The MITRE Corporation (2019)","System engineering","Testing","Establish, develop, execute, and update Test Cases and Test Procedures for Privacy Scenarios testing. ","Verification and validation","N/A"
"371","17, 18","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","Privacy-by-design","Requirements","Security requirements (associated with privacy requirements) are identified and kept in an inventory.","N/A","N/A"
"372","170, 171","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","Testing","Design or update unit test cases and apply them to observe privacy scenarios and verify accomplishment of privacy issues and concerns.","N/A","N/A"
"373","174, 376, 466, 470, 513, 550, 554, 574, 584, 691","Academia/industry/government","PbD, IoT, development, cybersecurity","Practice","Chaudhuri & Cavoukian (2018), Gkotsopoulou et al. (2019), Privacy Company (2019), Cavoukian (2011), Information and privacy commission New South Wales (2020), Information Commissioner's Office (ICO) (2022), Datatilsynet (2017), Cavoukian (2012)","Privacy-by-design","Privacy-by-default","Ensure that personal information is automatically protected in your IT systems, services, products and/or business practices, so that individuals do not have to take any specific action to protect their privacy.","Design & Development","N/A"
"374","180, 298","Academia","IoT PbD, privacy engineering","Practice","Pedroza et al. (2021), Chaudhuri & Cavoukian (2018), Spiekermann & Cranor (2009)","System engineering","System development","The end user requirements, interests, expectations, and concerns should be considered at the core of the system and service designs.","N/A","N/A"
"375","186, 316, 419, 606, 608","Academia/industry","PbD in IoT, Privacy engineering","Practice","Chaudhuri & Cavoukian (2018), Fhom & Bayarou (2011), Perera et al. (2020), The MITRE Corporation (2019)","Privacy-by-design","Controls","Mechanisms or controls that can be adopted as countermeasures against the identified privacy risks and threats, and to best satisfy the related privacy requirements are chosen and integrated into the system-to-be.","N/A","N/A"
"376","19, 24, 86, 123, 183, 609","Academia/industry","Business process, PbD, IoT, healthcare","Practice","Diamantopoulou & Karyda (2022), Kalloniatis et al (2020), Bincoletto (2019), Chaudhuri & Cavoukian (2018), The MITRE Corporation (2019)","PIA/DPIA","PIA component","Identify and analyse all Security and Privacy Risks, including ones that could cause threats.","N/A","Security/privacy expert or business analyst"
"377","201, 213","Academia","PIA, privacy engineering","Practice","Notario (2015), Oetzel & Spiekermann (2012)","PIA/DPIA","PIA component","Residual risks are identified and documented.","PIA","N/A"
"378","204, 443, 439, 479, 499, 560","Academia/industry","PbD, design strategies, smart products","Practice","Kroener & Wright (2014), Baldassarre et al. (2021), Hoepman (2022), Alshammari & Simpson (2018), ENISA (2014), Chaudhuri (2018)","Privacy-by-design","Technology","Privacy enhancing technologies are selected, developed and/or used.","N/A","N/A"
"379","206, 289, 347, 562","Academia/industry","Privacy-impact-assessment","Practice","Kroener & Wright (2014), Semantha et al. (2020), Sion et al. (2020), Chaudhuri (2018)","PIA/DPIA","PIA process & support","The PIA process covers a constant review mechanism, is ongoing, and prevalent throughout the technology or system design life cycle.","N/A","N/A"
"380","207, 654","Academia","Privacy-impact-assessment","Practice","Oetzel & Spiekermann (2012), Wright (2012)","PIA/DPIA","PIA process & support","A PIA is triggered in the early planning stages when either a new system is planned or an existing one is upgraded, and carries on throughout the projects life.","N/A","N/A"
"381","212, 709","Academia/industry","Privacy-impact-assessment","Practice","Oetzel & Spiekermann (2012), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA report","The PIA process is reported in a PIA document.","PIA","N/A"
"382","216, 426, 494, 649","Academia/government","PIA, PbD IoT, strategies","Practice","Oetzel & Spiekermann (2012), Perera et al. (2020), ENISA (2014), Hoepman (2014)","Audit, monitoring, & compliance","Compliance","Compliance with any relevant laws is regularly checked and demonstrated.","N/A","N/A"
"383","22, 23","Academia","Privacy-impact-assessment","Practice","Diamantopoulou & Karyda (2022)","PIA/DPIA","PIA component","Potential impact and severity of feared events is determined.","PIA","N/A"
"384","234, 449, 532, 549, 680","Academia/industry/government","PIA, IoT, PbD","Practice","Oetzel & Spiekermann (2012), Aljeraisy et al. (2021), Tamò-Larrieux (2018), Information Commissioner's Office (ICO) (2022), Cavoukian (2012)","Data processing principles","Purpose limitation","Data can only be processed for purposes to which the user initially consented or ones that are in line with the purpose statement.","N/A","N/A"
"385","243, 418","Academia","PIA, PbD in IoT","Practice","Oetzel & Spiekermann (2012), Perera et al. (2020)","Transparent information and communication for exercise of data rights","Disclosure","Provide adequate information and inform data subjects whenever data they own is acquired, processed, and disseminated.","N/A","N/A"
"386","245, 378, 576","Academia/government","DPbD for cybersecurity, development","Practice","Oetzel & Spiekermann (2012), Gkotsopoulou et al. (2019), Datatilsynet (2017)","Transparent information and communication for exercise of data rights","Notice","Information regarding the purpose of the processing of personal data, the legal bases and the recipients of the data, are provided in a clear and comprehensible manner.","N/A","N/A"
"387","246, 536, 622","Academia/industry","PIA, PbD, requirements","Practice","Oetzel & Spiekermann (2012), Tamò-Larrieux (2018), Mead et al. (2011)","Data subject rights","Data rectification","Mechanisms are implemented to empower users to rectify incorrect data processing.","N/A","N/A"
"388","247, 303","Academia","PIA, data control","Practice","Oetzel & Spiekermann (2012), Belli et al. (2017)","Data subject rights","Data portability","Individuals are afforded the possibility to move data from one service to another without data lock-ins.","N/A","N/A"
"389","25, 32, 52, 90, 210, 311, 336, 429, 704","Academia/industry","Privacy-impact-assessment","Practice","Diamantopoulou & Karyda (2022), Timón López (2021), Kalloniatis et al (2020), Oetzel & Spiekermann (2012), Fhom & Bayarou (2011), Al-Momani et al. (2019), Ahmadia et al. (2018), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA component","Threats are identified and classified for each of the established privacy targets with impact & likelihood estimations.","PIA","N/A"
"390","255, 292, 625","Academia","PIA, PbD in Health, requirements","Practice","Oetzel & Spiekermann (2012), Semantha et al. (2020), Mead et al. (2011)","Security","Breach/incident management","The service provider detects breaches and reports to all the customers if the privacy information is breached. ","N/A","N/A"
"391","260, 314, 352, 396","Academia","PbD in ITS, privacy verification","Practice","Kung et al. (2011), Fhom & Bayarou (2011), Kost et al. (2011), Vicini et al. (2016)","Privacy-by-design","Requirements","The system-to-be is verified to adhere to the requirements during validation after taking into account the identified privacy risks.","Requirements engineering","Engineers"
"392","261, 286","Academia","Privacy-impact-assessment","Practice","van Lieshout et al. (2011), Semantha et al. (2020)","PIA/DPIA","PIA component","PIA does not only cover information privacy but also all privacy issues. PIA considers if any modification is required in secondary documentation such as human resource policies and privacy management plans.","PIA","N/A"
"393","274, 501, 677","Academia/government","Privacy-by-design","Practice","van Lieshout et al. (2011), ENISA (2014), Cavoukian (2012)","Organisational privacy awareness","Culture","Encourage privacy practices demonstrably shared by diverse user communities and stakeholders, in a corporate privacy culture of continuous improvement where privacy is seen as an asset.","N/A","Leadership/Senior Management"
"394","279, 566, 569","Academia/government","PbD/DPbD","Practice","van Lieshout et al. (2011), Datatilsynet (2017)","Organisational privacy awareness","Training","Training is given at the start of employment, with updates at regular intervals, and at the start of a development project, according to formulated corporate values that reflect the importance of privacy protection.","Training","Employees"
"395","28, 149","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022), Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Requirements","PbD principles are associated with the identified (security and) privacy requirements.","N/A","N/A"
"396","284, 650, 653","Academia","Privacy-impact-assessment","Practice","Semantha et al. (2020), Wright (2012)","PIA/DPIA","PIA process & support","Governance structure of the organization is integrated with the PIA, the PIA policy codifies who initiates the PIA and who approves it.","N/A","N/A"
"397","285, 664","Academia","Privacy-impact-assessment","Practice","Semantha et al. (2020), Wright (2012)","PIA/DPIA","PIA process & support","The scale and scope of a PIA are in line with the scale and scope of a project and proportionate with the probable privacy risks","N/A","N/A"
"398","287, 660, 668, 710","Academia/industry","Privacy-impact-assessment","Practice","Semantha et al. (2020), Wright (2012), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA report","The report of the PIA is publicly accessible on the organisation's website. If not possible, releasing a summary report of the PIA to notify and search for feedback on privacy issues is considered.","PIA","N/A"
"399","29, 628","Academia","Business processes, requirements","Practice","Diamantopoulou & Karyda (2022), Kalloniatis et al. (2008)","Privacy-by-design","Requirements","Privacy related processes are modelled by associating process patterns with the corresponding privacy requirements.","N/A","N/A"
"400","290, 665","Academia","Privacy-impact-assessment","Practice","Semantha et al. (2020), Wright (2012)","PIA/DPIA","PIA process & support","PIA supports the privacy values of the organization and is part of the organisation's risk management practices.","N/A","N/A"
"401","293, 563, 590","Academia/industry/government","PbD in healthcare, smart products","Practice","Semantha et al. (2020), Chaudhuri (2018), Datatilsynet (2017)","Incident management","Incident management","Create an incident response plan of the software to be released. This should include impact assessment, measures, and continuous improvement of the software.","N/A","N/A"
"402","302, 304","Academia","Data control by design","Practice","Belli et al. (2017)","Lawfulness, fairness, and transparency","Consent","A standardised consent mechanism is used so that individuals are able to express consent and define the conditions of the exploitation of certain categories of data.","N/A","N/A"
"403","31, 51, 430, 486, 658, 703, 705","Academia/industry/government","Privacy-impact-assessment","Practice","Diamantopoulou & Karyda (2022), Timón López (2021), Ahmadia et al. (2018), ENISA (2014), Wright (2012), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA component","The PIA identifies risks and estimates their severity of each processing activity.","PIA","N/A"
"404","312, 394, 433, 482, 626","Academia/government","Requirements, PbD, Smart grids","Practice","Fhom & Bayarou (2011), Vicini et al. (2016), Alshammari & Simpson (2018), ENISA (2014), Kalloniatis et al. (2008)","Privacy-by-design","Privacy goals","The stakeholders and privacy goals of the privacy-by-design process are identified and articulated in detail","PIA","N/A"
"405","320, 323, 619","Academia","Privacy engineering & requirements","Practice","Fhom & Bayarou (2011), Mead et al. (2011)","Security","Security activities","The system network communications and data in transit must be protected from unauthorised information gathering and/or eavesdropping.","N/A","N/A"
"406","321, 645","Academia","Privacy engineering, PbD strategies","Practice","Fhom & Bayarou (2011), Hoepman (2014)","Security","Security activities","Data anonymization and obfuscation techniques are employed to protect and hide personal data form other parties.","N/A","N/A"
"407","322, 507, 644","Academia/government","PbD, privacy engineering","Practice","Fhom & Bayarou (2011), Information and privacy commission New South Wales (2020), Hoepman (2014)","Processing activity","Data aggregation","Use and store personal information at the highest possible level of aggregation and with the least possible detail.","N/A","N/A"
"408","333, 640","Academia","software development, privacy threats","Practice","Al-Momani et al. (2019), Deng et al. (2011)","Privacy-by-design","Requirements","System requirements are elicited from the misuse cases, potential violations of privacy are documented.","N/A","N/A"
"409","34, 91, 108, 202","Academia","PbD in medical, privacy engineering","Practice","Alkubaisy et al. (2022), Kalloniatis et al (2020), Piras et al. (2020), Notario (2015)","Privacy-by-design","Requirements","Conflicting requirements are balanced in a privacy friendly way without compromising other aspects.","N/A","Privacy/security analyst"
"410","35, 199","Academia","PbD, privacy engineering","Practice","Pedroza et al. (2021), Notario (2015)","Privacy-by-design","Requirements","Design considers both risk-driven requirements and goal-driven requirements.","N/A","N/A"
"411","360, 471, 596, 597, 683","academia/industry/government","Privacy engineering, PbD","Practice","Martín & Kung (2018), Cavoukian (2011), The MITRE Corporation (2019), Cavoukian (2012)","System engineering","Development process","Privacy and data protection activities are integrated in the different stages of the SDLC.","N/A","N/A"
"412","370, 459","Academia","DPbD in cybersecurity, PbD for IoT","Practice","Gkotsopoulou et al. (2019), Aljeraisy et al. (2021)","Processing activity","Data transfer","Cross-border data transfers are identified, handled appropriately and protected.","Conceptualisation","N/A"
"413","386, 455, 512, 561, 577, 617","Academia/industry/government","PbD for IoT, PbD in smart products","Practice","Gkotsopoulou et al. (2019), Aljeraisy et al. (2021), Information and privacy commission New South Wales (2020), Chaudhuri (2018), Datatilsynet (2017), Mead et al. (2011)","Security","Security activities","Personal data should be protected by reasonable security safeguards against such risks as loss, unauthorised access, destruction, use, modification, or disclosure of data.","N/A","N/A"
"414","4, 138, 239, 385, 453, 614","Academia","DPbD in EHR, PIA, cybersecurity, IoT","Practice","Chhetri et al. (2022), Bincoletto (2019), Oetzel & Spiekermann (2012), Gkotsopoulou et al. (2019), Aljeraisy et al. (2021), Mead et al. (2011)","Data processing principles","Data quality","Mechanisms are envisaged to keep all personal data accurate, complete, and up-to-date, whereas ensuring that incorrect data is deleted or rectified as quick as possible.","Design & Development","N/A"
"415","41, 127, 151, 296, 297, 331, 442, 477, 478, 541, 605","Academia/industry","Privacy design strategies, engineering","Practice","Bincoletto (2019), Morales-Trujillo & García-Mireles (2018), Koops et al. (2013), Semantha et al. (2021), Iezzi (2021), Baldassarre et al. (2021), Hoepman (2022), Agencia Española de Protección de Datos (AEPD) (2019), The MITRE Corporation (2019)","System engineering","Strategies, tactics, & patterns","Privacy strategies, their corresponding tactics, and their corresponding patterns are used and implemented.","Design & Development","N/A"
"416","425, 568","Academia/government","PbD in IoT, software development","Practice","Perera et al. (2020), Datatilsynet (2017)","System engineering","Development process","The organisation prepares an overview of the tools, standards, and best practices that should be used during software development.","N/A","N/A"
"417","451, 616","Academia","PbD for IoT, requirements","Practice","Aljeraisy et al. (2021), Mead et al. (2011)","Lawfulness, fairness, and transparency","Consent","The service provider shall disclose personal data only with the consent of the data subject or by the authority of law. ","N/A","N/A"
"418","452, 613","Academia","PbD for IoT, privacy requirements","Practice","Aljeraisy et al. (2021), Mead et al. (2011)","Lawfulness, fairness, and transparency","Lawfulness, fairness, and transparency","The service provider shall limit the collection of personal data and obtain such data by lawful and fair means. ","N/A","N/A"
"419","47, 264, 656, 700","Academia/industry","Privacy-impact-assessment","Practice","Timón López (2021), van Lieshout et al. (2011), Wright (2012), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA component","The PIA identifies and describes the data flows.","PIA","N/A"
"420","484, 485, 657, 667, 697, 699","Academia/industry/government","Privacy-impact-assessment","Practice","ENISA (2014), Wright (2012), International Organization for Standardization (ISO) (2017)","PIA/DPIA","PIA process & support","Stakeholders are identified and engaged with as part of the PIA in order to discover risks and impacts that might otherwise go unnoticed.","N/A","N/A"
"421","487, 488, 659","Academia/government","PbD, PIA","Practice","ENISA (2014), Wright (2012)","PIA/DPIA","PIA component","The PIA contains solutions and recommendation identification and implementation.","PIA","N/A"
"422","489, 662","Academia/government","PbD/PIA","Practice","ENISA (2014), Wright (2012)","PIA/DPIA","PIA component","The PIA describes reviews, audits and accountability measures.","PIA","N/A"
"423","498, 542, 545","Government","Privacy-by-design","Practice","ENISA (2014), Agencia Española de Protección de Datos (AEPD) (2019)","System engineering","Strategies, tactics, & patterns","In the design stage, the selected tactics are integrated by means of available solutions, that is to say, privacy design patterns that deal with common and reiterated problems, by accessing available catalogues.","N/A","N/A"
